sample,filtering,PON,bootstrap,calls
T104,filtered,30,4,539
T104,filtered,30,5,563
T104,filtered,35,1,567
T104,filtered,35,2,552
T104,filtered,35,3,593
T104,filtered,35,4,581
T104,filtered,35,5,559
T104,filtered,40,1,599
T104,filtered,40,2,602
T104,filtered,40,3,595
T104,filtered,40,4,608
T104,filtered,40,5,588
T104,filtered,45,1,611
T104,filtered,45,2,607
T104,filtered,45,3,606
T104,filtered,45,4,609
T104,filtered,45,5,612
T104,filtered,50,1,613
T104,filtered,50,2,604
T104,filtered,50,3,607
T104,filtered,50,4,612
T104,filtered,50,5,593
T104,filtered,55,1,633
T104,filtered,55,2,622
T104,filtered,55,3,633
T104,filtered,55,4,627
T104,filtered,55,5,626
T104,filtered,60,1,632
T104,filtered,60,2,642
T104,filtered,60,3,636
T104,filtered,60,4,640
T104,filtered,60,5,631
T104,filtered,65,1,628
T104,filtered,65,2,640
T104,filtered,65,3,645
T104,filtered,65,4,643
T104,filtered,65,5,643
T105,All,5,1,3577
T105,All,5,2,3577
T105,All,5,3,3577
T105,All,5,4,3577
T105,All,5,5,3577
T105,All,10,1,3577
T105,All,10,2,3577
T105,All,10,3,3577
T105,All,10,4,3577
T105,All,10,5,3577
T105,All,15,1,3577
T105,All,15,2,3577
T105,All,15,3,3577
T105,All,15,4,3577
T105,All,15,5,3577
T105,All,20,1,3577
T105,All,20,2,3577
T105,All,20,3,3577
T105,All,20,4,3577
T105,All,20,5,3577
T105,All,25,1,3577
T105,All,25,2,3577
T105,All,25,3,3577
T105,All,25,4,3577
T105,All,25,5,3577
T105,All,30,1,3577
T105,All,30,2,3577
T105,All,30,3,3577
T105,All,30,4,3577
T105,All,30,5,3577
T105,All,35,1,3577
T105,All,35,2,3577
T105,All,35,3,3577
T105,All,35,4,3577
T105,All,35,5,3577
T105,All,40,1,3577
T105,All,40,2,3577
T105,All,40,3,3577
T105,All,40,4,3577
T105,All,40,5,3577
T105,All,45,1,3577
T105,All,45,2,3577
T105,All,45,3,3577
T105,All,45,4,3577
T105,All,45,5,3577
T105,All,50,1,3577
T105,All,50,2,3577
T105,All,50,3,3577
T105,All,50,4,3577
T105,All,50,5,3577
T105,All,55,1,3577
T105,All,55,2,3577
T105,All,55,3,3577
T105,All,55,4,3577
T105,All,55,5,3577
T105,All,60,1,3577
T105,All,60,2,3577
T105,All,60,3,3577
T105,All,60,4,3577
T105,All,60,5,3577
T105,All,65,1,3577
T105,All,65,2,3577
T105,All,65,3,3577
T105,All,65,4,3577
T105,All,65,5,3577
T105,filtered,5,1,332
T105,filtered,5,2,373
T105,filtered,5,3,356
T105,filtered,5,4,343
T105,filtered,5,5,349
T105,filtered,10,1,442
T105,filtered,10,2,498
T105,filtered,10,3,496
T105,filtered,10,4,504
T105,filtered,10,5,480
T105,filtered,15,1,562
T105,filtered,15,2,555
T105,filtered,15,3,557
T105,filtered,15,4,537
T105,filtered,15,5,542
T105,filtered,20,1,567
T105,filtered,20,2,577
T105,filtered,20,3,583
T105,filtered,20,4,597
T105,filtered,20,5,606
T105,filtered,25,1,613
T105,filtered,25,2,623
T105,filtered,25,3,641
T105,filtered,25,4,620
T105,filtered,25,5,600
T105,filtered,30,1,654
T105,filtered,30,2,661
T105,filtered,30,3,656
T105,filtered,30,4,646
T105,filtered,30,5,699
T105,filtered,35,1,684
T105,filtered,35,2,674
T105,filtered,35,3,723
T105,filtered,35,4,685
T105,filtered,35,5,688
T105,filtered,40,1,717
T105,filtered,40,2,729
T105,filtered,40,3,730
T105,filtered,40,4,737
T105,filtered,40,5,684
T105,filtered,45,1,731
T105,filtered,45,2,750
T105,filtered,45,3,710
T105,filtered,45,4,723
T105,filtered,45,5,743
T105,filtered,50,1,728
T105,filtered,50,2,720
T105,filtered,50,3,745
T105,filtered,50,4,729
T105,filtered,50,5,720
T105,filtered,55,1,758
T105,filtered,55,2,760
T105,filtered,55,3,764
T105,filtered,55,4,753
T105,filtered,55,5,752
T105,filtered,60,1,776
T105,filtered,60,2,776
T105,filtered,60,3,771
T105,filtered,60,4,771
T105,filtered,60,5,764
T105,filtered,65,1,772
T105,filtered,65,2,770
T105,filtered,65,3,783
T105,filtered,65,4,779
T105,filtered,65,5,780
T107,All,5,1,10175
T107,All,5,2,10175
T107,All,5,3,10175
T107,All,5,4,10175
T107,All,5,5,10175
T107,All,10,1,10175
T107,All,10,2,10175
T107,All,10,3,10175
T107,All,10,4,10175
T107,All,10,5,10175
T107,All,15,1,10175
T107,All,15,2,10175
T107,All,15,3,10175
T107,All,15,4,10175
T107,All,15,5,10175
T107,All,20,1,10175
T107,All,20,2,10175
T107,All,20,3,10175
T107,All,20,4,10175
T107,All,20,5,10175
T107,All,25,1,10175
T107,All,25,2,10175
T107,All,25,3,10175
T107,All,25,4,10175
T107,All,25,5,10175
T107,All,30,1,10175
T107,All,30,2,10175
T107,All,30,3,10175
T107,All,30,4,10175
T107,All,30,5,10175
T107,All,35,1,10175
T107,All,35,2,10175
T107,All,35,3,10175
T107,All,35,4,10175
T107,All,35,5,10175
T107,All,40,1,10175
T107,All,40,2,10175
T107,All,40,3,10175
T107,All,40,4,10175
T107,All,40,5,10175
T107,All,45,1,10175
T107,All,45,2,10175
T107,All,45,3,10175
T107,All,45,4,10175
T107,All,45,5,10175
T107,All,50,1,10175
T107,All,50,2,10175
T107,All,50,3,10175
T107,All,50,4,10175
T107,All,50,5,10175
T107,All,55,1,10175
T107,All,55,2,10175
T107,All,55,3,10175
T107,All,55,4,10175
T107,All,55,5,10175
T107,All,60,1,10175
T107,All,60,2,10175
T107,All,60,3,10175
T107,All,60,4,10175
T107,All,60,5,10175
T107,All,65,1,10175
T107,All,65,2,10175
T107,All,65,3,10175
T107,All,65,4,10175
T107,All,65,5,10175
T107,filtered,5,1,262
T107,filtered,5,2,301
T107,filtered,5,3,295
T107,filtered,5,4,273
T107,filtered,5,5,241
T107,filtered,10,1,403
T107,filtered,10,2,424
T107,filtered,10,3,391
T107,filtered,10,4,408
T107,filtered,10,5,373
T107,filtered,15,1,472
T107,filtered,15,2,471
T107,filtered,15,3,497
T107,filtered,15,4,451
T107,filtered,15,5,451
T107,filtered,20,1,492
T107,filtered,20,2,511
T107,filtered,20,3,524
T107,filtered,20,4,549
T107,filtered,20,5,497
T107,filtered,25,1,533
T107,filtered,25,2,521
T107,filtered,25,3,537
T107,filtered,25,4,545
T107,filtered,25,5,517
T107,filtered,30,1,575
T107,filtered,30,2,561
T107,filtered,30,3,560
T107,filtered,30,4,558
T107,filtered,30,5,586
T107,filtered,35,1,605
T107,filtered,35,2,617
T107,filtered,35,3,623
T107,filtered,35,4,584
T107,filtered,35,5,588
T107,filtered,40,1,632
